season,week,slate,captain_position,captain_name,captain_team,captain_salary,captain_actual_points_base,optimal_lineup_points,game_total_line,game_spread_abs,max_team_implied_total,min_team_implied_total,implied_total_diff,has_vegas_line,pool_size,team_count,team1_player_count,team2_player_count,qb_count,rb_count,wr_count,te_count,k_count,dst_count,top_qb_proj_mean,top_rb_proj_mean,top_wr_proj_mean,top_te_proj_mean,top_k_proj_mean,top_dst_proj_mean,top_qb_salary,top_rb_salary,top_wr_salary,top_te_salary,top_k_salary,top_dst_salary
2024,7,sunday_night,RB,Breece Hall,NYJ,15600,29.1,136.31,40.0,3.0,21.5,18.5,3.0,1.0,53.0,2.0,28.0,25.0,7.0,11.0,20.0,11.0,2.0,2.0,21.28457364341085,17.3,18.03641975308642,9.064,8.27081081081081,8.185273159144893,9800.0,10400.0,10000.0,6400.0,5200.0,4800.0
2024,8,sunday,WR,CeeDee Lamb,DAL,15900,42.6,163.7,48.0,5.5,26.75,21.25,5.5,1.0,55.0,2.0,30.0,25.0,7.0,13.0,19.0,10.0,4.0,2.0,20.74188976377953,23.627142857142854,18.011842105263156,13.464655172413794,11.041666666666666,6.690647482014389,9600.0,11000.0,10600.0,8800.0,5400.0,4400.0
2024,8,thursday,WR,Demarcus Robinson,LAR,4500,17.5,129.21,47.5,3.0,25.25,22.25,3.0,1.0,54.0,2.0,29.0,25.0,7.0,10.0,20.0,13.0,2.0,2.0,18.87345454545455,16.3462962962963,20.828059701492542,12.021917808219177,10.833333333333334,6.702702702702703,9400.0,11200.0,11800.0,5200.0,5400.0,4800.0
2024,9,thursday,WR,Garrett Wilson,NYJ,14400,30.0,129.44,43.5,2.5,23.0,20.5,2.5,1.0,59.0,2.0,30.0,29.0,8.0,12.0,21.0,12.0,4.0,2.0,21.245307692307694,17.4375,17.910365853658536,8.761956521739132,8.005102040816327,6.6928746928746925,10000.0,11000.0,9800.0,7000.0,5200.0,4600.0
2024,10,main,WR,Puka Nacua,LAR,13500,18.8,98.9,49.5,2.5,26.0,23.5,2.5,1.0,51.0,2.0,27.0,24.0,6.0,10.0,21.0,10.0,2.0,2.0,18.90468468468469,17.445,18.88095238095238,7.284677419354839,7.615596330275229,6.800995024875622,9200.0,10800.0,10000.0,4400.0,5000.0,4000.0
2024,10,thursday,WR,Ja'Marr Chase,CIN,16200,58.400000000000006,220.42000000000002,53.0,6.0,29.5,23.5,6.0,1.0,53.0,2.0,27.0,26.0,6.0,13.0,19.0,11.0,2.0,2.0,20.68264705882353,17.045522388059705,19.04622950819672,12.393137254901955,9.330875576036867,8.791079812206572,11400.0,11200.0,10800.0,6600.0,5400.0,4400.0
2024,15,main,WR,Keenan Allen,CHI,10500,20.200000000000003,104.1,43.5,7.0,25.25,18.25,7.0,1.0,54.0,2.0,27.0,27.0,8.0,11.0,19.0,12.0,2.0,2.0,17.02615384615385,14.234285714285715,20.584594594594595,11.867088607594935,8.777777777777779,7.662591687041565,10600.0,10000.0,12000.0,5800.0,5000.0,5400.0
2024,15,monday_second_captain,RB,Ameer Abdullah,LV,5100,19.6,99.22000000000001,44.5,6.5,25.5,19.0,6.5,1.0,55.0,2.0,29.0,26.0,8.0,13.0,20.0,10.0,2.0,2.0,18.8825,17.136666666666667,15.0,16.284615384615385,8.604395604395604,5.927536231884058,9600.0,11600.0,9400.0,10600.0,5200.0,4200.0
2024,15,sunday_night,RB,Ameer Abdullah,LV,5100,19.6,99.22000000000001,44.5,6.5,25.5,19.0,6.5,1.0,55.0,2.0,29.0,26.0,8.0,13.0,20.0,10.0,2.0,2.0,18.8825,17.136666666666667,15.0,16.284615384615385,8.604395604395604,5.927536231884058,9600.0,11600.0,9400.0,10600.0,5200.0,4200.0
2024,15,thursday,WR,Puka Nacua,LAR,16500,17.8,88.4,48.5,3.0,25.75,22.75,3.0,1.0,52.0,2.0,29.0,23.0,7.0,12.0,19.0,10.0,2.0,2.0,18.916299559471366,23.17901960784313,19.98846153846154,13.639669421487602,8.166666666666666,6.650118203309693,9400.0,10200.0,11000.0,8000.0,5200.0,4000.0
2024,16,monday_night,RB,Josh Jacobs,GB,17400,20.7,93.33,44.0,14.0,29.0,15.0,14.0,1.0,57.0,2.0,30.0,27.0,7.0,12.0,19.0,13.0,4.0,2.0,16.62882352941176,19.784590163934425,13.74871794871795,8.130754716981134,8.161290322580646,7.326388888888889,10600.0,11600.0,9000.0,5800.0,5200.0,6200.0
